lr;epoch;iteration;global_iteration
1.7841213202497771e-06;0;100;100
3.5682426404995543e-06;0;200;200
5.352363960749331e-06;0;300;300
7.1364852809991086e-06;0;400;400
8.920606601248884e-06;0;500;500
1.0704727921498663e-05;0;600;600
1.2488849241748438e-05;0;700;700
1.4272970561998217e-05;0;800;800
1.6057091882247994e-05;0;900;900
1.7841213202497768e-05;0;1000;1000
1.962533452274755e-05;0;1100;1100
2.1409455842997326e-05;0;1200;1200
2.3193577163247103e-05;0;1300;1300
2.4977698483496877e-05;0;1400;1400
2.6761819803746657e-05;0;1500;1500
2.8545941123996434e-05;0;1600;1600
3.033006244424621e-05;0;1700;1700
3.211418376449599e-05;0;1800;1800
3.389830508474576e-05;0;1900;1900
3.5682426404995536e-05;0;2000;2000
3.746654772524532e-05;0;2100;2100
3.92506690454951e-05;0;2200;2200
4.103479036574487e-05;0;2300;2300
4.281891168599465e-05;0;2400;2400
4.4603033006244425e-05;0;2500;2500
4.6387154326494206e-05;0;2600;2600
4.817127564674398e-05;0;2700;2700
4.995539696699375e-05;0;2800;2800
4.980672019030628e-05;0;2900;2900
4.96084844880563e-05;0;3000;3000
4.9410248785806324e-05;0;3100;3100
4.921201308355635e-05;0;3200;3200
4.9013777381306374e-05;0;3300;3300
4.88155416790564e-05;0;3400;3400
4.8617305976806425e-05;0;3500;3500
4.841907027455645e-05;0;3600;3600
4.8220834572306475e-05;0;3700;3700
4.80225988700565e-05;0;3800;3800
4.7824363167806525e-05;0;3900;3900
