lr;epoch;iteration;global_iteration
2.0725388601036273e-06;0;100;100
4.1450777202072546e-06;0;200;200
6.217616580310881e-06;0;300;300
8.290155440414509e-06;0;400;400
1.0362694300518135e-05;0;500;500
1.2435233160621763e-05;0;600;600
1.4507772020725389e-05;0;700;700
1.6580310880829018e-05;0;800;800
1.8652849740932644e-05;0;900;900
2.072538860103627e-05;0;1000;1000
2.27979274611399e-05;0;1100;1100
2.4870466321243526e-05;0;1200;1200
2.694300518134715e-05;0;1300;1300
2.9015544041450778e-05;0;1400;1400
3.108808290155441e-05;0;1500;1500
3.3160621761658036e-05;0;1600;1600
3.523316062176166e-05;0;1700;1700
3.730569948186529e-05;0;1800;1800
3.937823834196892e-05;0;1900;1900
4.145077720207254e-05;0;2000;2000
4.352331606217617e-05;0;2100;2100
4.55958549222798e-05;0;2200;2200
4.766839378238342e-05;0;2300;2300
4.974093264248705e-05;0;2400;2400
4.9798503166378815e-05;0;2500;2500
4.9568221070811746e-05;0;2600;2600
4.933793897524468e-05;0;2700;2700
4.910765687967761e-05;0;2800;2800
4.887737478411054e-05;0;2900;2900
4.864709268854347e-05;0;3000;3000
4.84168105929764e-05;0;3100;3100
4.818652849740933e-05;0;3200;3200
4.795624640184226e-05;0;3300;3300
4.772596430627519e-05;0;3400;3400
4.749568221070812e-05;0;3500;3500
4.7265400115141054e-05;0;3600;3600
4.703511801957398e-05;0;3700;3700
4.680483592400691e-05;0;3800;3800
4.657455382843984e-05;0;3900;3900
4.634427173287277e-05;0;4000;4000
4.61139896373057e-05;0;4100;4100
4.588370754173863e-05;0;4200;4200
4.565342544617156e-05;0;4300;4300
4.5423143350604494e-05;0;4400;4400
4.5192861255037425e-05;0;4500;4500
4.4962579159470356e-05;0;4600;4600
4.4732297063903286e-05;0;4700;4700
4.450201496833622e-05;0;4800;4800
4.427173287276915e-05;1;75;4900
4.404145077720208e-05;1;175;5000
4.381116868163501e-05;1;275;5100
4.358088658606794e-05;1;375;5200
4.3350604490500865e-05;1;475;5300
4.3120322394933795e-05;1;575;5400
4.2890040299366726e-05;1;675;5500
4.265975820379966e-05;1;775;5600
4.242947610823259e-05;1;875;5700
